epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
40,684.556,0.92394,1.447,0.8357,1.08108,0.79223,0.73506,0.77898,0.55808,0.72632,0.62249,0.62679,0.19918,1.0466,1.16658,1.03644,1.10454,0.0080695,0.0080695,0.0080695
41,701.282,0.88788,1.41533,0.79349,1.06763,0.80457,0.77708,0.80322,0.54528,0.73248,0.64257,0.65177,0.21352,1.09958,1.16725,1.05135,1.08098,0.00802,0.00802,0.00802
42,718.048,0.91301,1.39891,0.81751,1.07927,0.7947,0.68403,0.75948,0.535,0.66754,0.5743,0.57145,0.17783,1.08002,1.19913,1.08873,1.12652,0.0079705,0.0079705,0.0079705
43,734.771,0.90313,1.43758,0.80882,1.0667,0.79747,0.72743,0.75422,0.52638,0.66644,0.61044,0.53112,0.16838,1.11187,1.21131,1.08693,1.12731,0.007921,0.007921,0.007921
44,751.508,0.90637,1.41932,0.81067,1.09068,0.72246,0.73896,0.74467,0.50332,0.68698,0.58233,0.56983,0.17688,1.14411,1.19632,1.11387,1.1596,0.0078715,0.0078715,0.0078715
45,768.6,0.90776,1.41024,0.81849,1.07913,0.82445,0.73494,0.79756,0.57849,0.70923,0.64659,0.6455,0.20941,1.00771,1.17018,1.02187,1.05692,0.007822,0.007822,0.007822
46,785.318,0.8923,1.43237,0.79627,1.06696,0.80184,0.71505,0.7772,0.53965,0.70046,0.61446,0.61513,0.19763,1.09809,1.14764,1.04513,1.16107,0.0077725,0.0077725,0.0077725
47,802.03,0.89669,1.42089,0.79103,1.07143,0.81643,0.71084,0.77533,0.56546,0.73471,0.63454,0.64706,0.20252,1.01175,1.16649,1.0543,1.07299,0.007723,0.007723,0.007723
48,818.758,0.88576,1.40262,0.78762,1.07245,0.82943,0.72255,0.77393,0.55758,0.73699,0.65272,0.63929,0.20874,1.0336,1.17955,0.97539,1.07812,0.0076735,0.0076735,0.0076735
49,835.495,0.89205,1.42504,0.80231,1.06641,0.76538,0.70749,0.77387,0.56893,0.69342,0.62249,0.61946,0.21405,1.03253,1.16451,1.05643,1.0704,0.007624,0.007624,0.007624
